eventtype,tick,timestamp,taskid,object,value,src
traceTASK_SWITCHED_OUT,2106,2106000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,2106,2106000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2200,2200000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2200,2200000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,2200,2200000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2200,2200000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2200,2200000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2200,2200000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2200,2200000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,2200,2200000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2200,2200000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2200,2200000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2200,2200000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2200,2200000,Bus,0x0,2400,TASK
traceTASK_SWITCHED_OUT,2200,2200000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2200,2200000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2400,2400000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2400,2400000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,2400,2400000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2400,2400000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2400,2400000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2400,2400000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2400,2400000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,2400,2400000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2400,2400000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2400,2400000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2400,2400000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2400,2400000,Bus,0x0,2600,TASK
traceTASK_SWITCHED_OUT,2400,2400000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2400,2400000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2406,2406000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2406,2406000,Cycle,0x0,0,TASK
EVT_QUEUE_SEND,2406,2406000,Cycle,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2406,2406000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,2406,2406000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2406,2406000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2406,2406000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,2406,2406000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2406,2406000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2406,2406000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2406,2406000,Cycle,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2406,2406000,Cycle,0x0,2706,TASK
traceTASK_SWITCHED_OUT,2406,2406000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,2406,2406000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2600,2600000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2600,2600000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,2600,2600000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2600,2600000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2600,2600000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2600,2600000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2600,2600000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,2600,2600000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2600,2600000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2600,2600000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2600,2600000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2600,2600000,Bus,0x0,2800,TASK
traceTASK_SWITCHED_OUT,2600,2600000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2600,2600000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2706,2706000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2706,2706000,Cycle,0x0,0,TASK
EVT_QUEUE_SEND,2706,2706000,Cycle,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2706,2706000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,2706,2706000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2706,2706000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2706,2706000,printer,0x3ffb6a9c,0,TASK
